Ticker,AssetType,first_date,last_date,n_days,avg_volume,median_price
MET,Stock,2000-04-05,2017-11-10,4430,7143893.622573364,30.62
MGM,Stock,2005-02-25,2017-11-10,3201,11051026.034989066,21.702
MMC,Stock,1987-12-30,2017-11-10,7529,2289825.899986718,23.914
MMM,Stock,1970-01-02,2017-11-10,12075,2454580.9095652173,18.571
MPC,Stock,2011-07-06,2017-11-10,1601,6847497.643972517,38.762
MRK,Stock,1970-01-02,2017-11-10,12075,8503585.808115942,13.997
MS,Stock,2005-02-25,2017-11-10,3201,17397025.00687285,29.972
MSFT,Stock,1986-03-13,2017-11-10,7983,79458003.26218213,20.469
MU,Stock,1989-05-16,2017-11-10,7179,15914197.876723778,12.32
NEE,Stock,2005-02-25,2017-11-10,3201,2611213.7041549515,51.03
NEM,Stock,1983-04-06,2017-11-10,8726,3835971.9416685766,29.05
NFLX,Stock,2005-02-25,2017-11-10,3201,19531074.468603563,15.447
NKE,Stock,1987-08-19,2017-11-10,7620,13813458.2664042,6.4893
NOC,Stock,1981-12-31,2017-11-10,9045,1292141.9523493643,30.008
NOW,Stock,2012-06-29,2017-11-10,1352,1547772.127218935,67.33
NSC,Stock,1982-06-02,2017-11-10,8940,1842331.6136465324,18.5655
NVDA,Stock,1999-01-22,2017-11-10,4733,16152870.570885273,12.99
NXPI,Stock,2010-08-05,2017-11-10,1831,2695305.724740579,57.63
ORCL,Stock,1988-03-02,2017-11-10,7486,44536613.045818865,11.859
OXY,Stock,1981-12-31,2017-11-10,9045,3787913.1779988944,8.0733
PANW,Stock,2012-07-20,2017-11-10,1338,1483685.3707025412,118.895
PEG,Stock,1980-01-02,2017-11-10,9550,2057169.912460733,10.3635
PEP,Stock,1977-01-03,2017-11-10,10307,5258948.264868536,26.302
PFE,Stock,1982-01-04,2017-11-10,9042,26292679.951669984,14.277
PG,Stock,1970-01-02,2017-11-10,12075,6649885.637515528,10.859
PM,Stock,2008-03-17,2017-11-10,2433,7705317.922318126,70.811
PNC,Stock,1988-09-07,2017-11-10,7353,2131559.5790833673,44.163
PPG,Stock,1983-04-06,2017-11-10,8726,1538433.845060738,21.76
PRU,Stock,2001-12-13,2017-11-10,4005,3799641.7168539325,52.634
PSX,Stock,2012-05-03,2017-11-10,1392,3822872.242097701,73.4145
QCOM,Stock,1991-12-16,2017-11-10,6527,22478528.288647156,31.062
REGN,Stock,2005-02-25,2017-11-10,3200,747673.174375,53.615
RIO,Stock,2005-02-25,2017-11-10,3202,3549469.1892567147,38.611
RSG,Stock,2005-02-25,2017-11-10,3201,2047071.8919087786,25.482
SBUX,Stock,1992-06-26,2017-11-10,6393,17740394.304864697,7.6516
SCHW,Stock,1989-06-30,2017-11-10,7148,7388814.630526021,12.548
SHW,Stock,1985-07-01,2017-11-10,8159,766273.9053805614,24.985
SLB,Stock,1981-12-31,2017-11-10,9045,6345175.474626865,21.664
SO,Stock,1981-12-31,2017-11-10,9043,2752723.142651775,10.136
SPGI,Stock,1985-07-01,2017-11-10,8160,1667457.8381127452,24.944
SRE,Stock,1998-06-29,2017-11-10,4874,1389882.2125564218,40.995000000000005
SYK,Stock,1988-02-01,2017-11-10,7504,1740067.3626066097,29.016
SYY,Stock,1987-07-23,2017-11-10,7638,2825475.6678449856,21.432
T,Stock,1984-07-19,2017-11-10,8401,31099863.08975122,13.297
